 ,P1 (ref),P2,P3,N1,N2,KOMENTÁŘ ÚTRL,vzájemné revize - ukázky
,,,,,,,
upi.205735 ,,,,,,,
Iran releases British oil tanker Stena Impero,Írán propustil britský ropný tanker Stena Impero,Írán propouští Britský ropný tanker Stena Impero,Írán propustil britský ropný tanker Stena Impero,Írán propustil britský ropný tanker Stena Impero,Íránem zadržovaný britský ropný tanker Stena Impero opět volný,,
"Iran released a British-flagged oil tanker on Friday, two months after it captured the vessel for allegedly entering its waters in violation of international law.","Írán v pátek propustil britský ropný tanker, dva měsíce poté, co byla loď zadržená, protože údajně vstoupila do jeho vod v rozporu s mezinárodními úmluvami.","Írán v pátek po dvou měsících propustil ropný tanker s Britskými vlajkami poté, co plavidlo zajal kvůli údajnému vstupu do jeho vod v rozporu s mezinárodním zákonem.","Írán propustil ropný tanker pod britskou vlajkou v pátek, dva měsíce poté, co plavidlo zajal za to, že údajně vplulo do jeho vod a porušilo tak mezinárodní právo.","Írán v pátek propustil ropný tanker plující pod britskou vlajkou. Stalo se tak dva měsíce poté, co bylo plavidlo zadrženo s tím, že údajně vplulo do íránských vod a tím porušilo mezinárodní úmluvy.","Íránské úřady v pátek propustily ropný tanker plující pod britskou vlajkou, a to dva měsíce poté, co plavidlo zadržely, protože v rozporu s mezinárodním právem údajně vplulo do íránských vod.",,
"Iranian Ports and Maritime Administration confirmed that the vessel, Stena Impero, left Bandar Abbas port at 9 a.m., the state-run IRNA reported.","Íránské přístavy a námořní správa potvrdily, že plavidlo Stena Impero opustilo přístav Bandar Abbás v 9 hodin, informovala státní televize IRNA.","Státní zpravodajská agentura IRNA na základě potvrzení Íránských přístavů a námořní správy oznámila, že plavidlo Stena Impero opustilo v 9 hodin ráno Bandar Abbaský přístav.","Íránská námořní a přístavní sprácva potvrdila, že plavidlo Stena Impero opostilo přístav Bandar Abbás v 9 hodin dopoledne, uvedla státní tisková agentura IRNA.","Íránská námořní a přístavní správa potvrdila, že plavidlo Stena Impero opustilo přístav Bandar Abbás v 9 hodin ráno, uvedla státní tisková agentura IRNA.","Íránská námořní a přístavní správa potvrdila, že loď Stena Impero vyplula z přístavu Bandar Abbás v devět hodin ráno, informovala státní tisková agentura IRNA.",,
"Erik Hanell, president and CEO of Stena Bulk, the operator of the ship, also confirmed the ship's release.","Erik Hanell, prezident a generální ředitel společnosti Stena Bulk a provozovatel lodi, rovněž potvrdil, že loď byla propuštěna.","Erik Hanell, prezident a ředitel společnosti Stena Bulk a provozovatel lodi, její propuštění také potvrdil.","Erik Hannel, prezident a generální ředitel Stena Bulk, provozovatele lodi, také potvrdil propuštění lodi.","Informaci o propuštění lodi potvrdil rovněž Erik Hanell, prezident a generální ředitel společnosti Stena Bulk, která plavidlo provozuje.","Informaci o tom, že loď může opustit íránský přístav, potvrdil také Erik Hanell, předseda představenstva a generální ředitel společnosti Stena Bulk, která plavidlo provozuje.",,
"""Stena Bulk and Northern Marine Management confirm the Stena Impero and its crew have been released,"" he said via Twitter.","„Stena Bulk a Northern Marine Management potvrzují, že tanker Stena Impero a jeho posádka byli propuštěni,“ napsal na Twitteru.","„Stena Bulk a Severní námořní management potvrzují, že Stena Impero a její posádka byli propuštěni“, uvedl na svém Twitteru.","""Stena Bulk a Northern Marine Management potvrzují, že Stena Impero a její posádka byly propuštěny,"" sdělil na Twitteru.","„Stena Bulk a Northern Marine Management potvrzují, že Stena Impero a její posádka byly propuštěny,“ uvedl na Twitteru.",,,
The ship was captured by the Iranian Revolutionary Guard Corps on July 19 for having violated international maritime law when it allegedly veered into Iranian waters in the Strait of Hormuz.,"Loď byla zadržena íránskou revoluční gardou 19. července za to, že porušila mezinárodní námořní právo, když údajně vplula do íránských vod v Hormuzském průlivu.","Loď byla zajata Íránskými revolučními gardami 19. července z důvodu narušení mezinárodního námořního zákonu, když údajně vplula do íránských vod v Hormuzském průlivu.","Loď byla zajata íránskými revolučními gardami 19. července za porušení mezinárodního námořního práva, když údajně zamířila do íránských vod v Hormúzském průlivu.","Loď zajaly Íránské revoluční gardy 19. července za porušení mezinárodního námořního práva. Toho se posádka údajně dopustila tím, že v Hormuzském průlivu vplula do íránských vod.","Loď zadržely íránské Revoluční gardy 19. července. Posádka měla porušit mezinárodní námořní právo tím, že v Hormuzském průlivu zamířila do íránských vod.",,
"The vessel's seizure, however, was widely seen as retaliatory for British forces capturing a tanker off Gibraltar on suspicion of transporting Persian oil to Syria in violation of international sanctions. The ship was released in mid-August despite the Trump administration making a last-ditch attempt to length its detention.","Zajetí plavidla však bylo obecně vnímáno jako odvetné opatření proti Velké Británii, která zachytila tanker vyplouvající z Gibraltaru kvůli podezření z přepravy perské ropy do Sýrie, což je porušení mezinárodní sankčních opatření. Loď byla propuštěna v půlce srpna, přestože Trumpova administrativa se ještě pokoušela její držení prodloužit.","Zadržení plavidla však bylo obecně považováno jako odveta za zadržení tankeru britskými silami nedaleko Gibraltaru pro podezření z přepravy perské ropy do Sýrie, čímž byly porušeny mezinárodní sankce. Loď byla propuštěna v polovině srpna i přes zoufalý pokus Trumpovy vlády o prodloužení jejího zadržení.","Zadržení plavidla bylo ale obecně považováno za odvetu za to, že britské síly zadržely tanker nedaleko Gibraltaru s podezřením, že převáží perskou ropu do Sýrie, a tím porušuje mezinárodní sankce. Toto plavidlo bylo propuštěno v polovině srpna, přestože Trumpova administrativa učinila poslední pokus o prodloužení jeho zadržení.","Zadržení plavidla bylo ale obecně považováno za odvetu za to, že britské síly zajaly nedaleko Gibraltaru jiný tanker s podezřením, že převáží perskou ropu do Sýrie a tím porušuje mezinárodní sankce. Loď byla propuštěna v polovině srpna i přes poslední zoufalý pokus Trumpovy administrativy dosáhnout prodloužení zadržení plavidla.",,,
"The Stena Impero was officially given permission to leave on Monday but was kept in port until a probe into the ship's conduct completed, the New York Times reported.","Stena Impero dostala oficiální povolení k odplutí v pondělí, ale byla držena v přístavu, dokud nebyla dokončena inspekce lodi, informovaly New York Times.","Stena Impero dostala oficiální oprávnění vyplout v pondělí, byla však držena v přístavu do doby, než byl dokončen průzkum vedení lodi, uvedl New York Times.","Lodi Stena Impero bylo oficiálně uděleno povolení odplout v pondělí, ale byla držena v přístavu, dokud nebylo ukončeno vyšetřování řízení lodi, informovaly New York Times.","Stena Impero dostala oficiální povolení k odplutí v pondělí, v přístavu však byla držena až do doby, než bude prošetřen postup posádky, informoval deník New York Times.","Oficiální povolení k vyplutí obdržela Stena Impero už v pondělí, v přístavu však musela setrvat až do doby, než bude prošetřen postup posádky, informoval list The New York Times.","chyba originálu: chybí was completed
člen před NYT - úzus v českých médiích kolísá",
